Academic Period,Calendar Year,Gender,Student Type,Major Type,Full_Part Time,Ethnicity,Term,Major,Age_Group
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Early Childhood & Family Studi,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Baking and Pastry Arts,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,BLACK AFR AMER,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,30-34
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Hlth Tech:Phlebotomy,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Health Information Technology,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Computer Science,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Liberal Arts,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Liberal Arts,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Kinesiology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,50-59
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,English,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,BLACK AFR AMER,202420,Mechanical Engineering,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Respiratory Care Technology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI-RACIAL,202420,Business Administration,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,25-29
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Full-Time,WHITE,202420,Dual Credit Home-Schooled,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Info Tech Cybersecurity,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Info Tech Cybersecurity,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,BLACK AFR AMER,202420,Business Administration,18-24
Spring  2024,2024,Female,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Aircraft Structures Mechanic,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,Under 18
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,Under 18
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Vocational Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Respiratory Care Technology,18-24
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Medical Laboratory Tech,18-24
Spring  2024,2024,Female,Transfer Student,Technical,Part-Time,HISPANIC,202420,Mortuary Science,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,MULTI AFR AMER,202420,EMT - Paramedic,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Full-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Radiography Technologist,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Construction Business Mgmt,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,"TX Teacher EC-6, 4-8, & EC-12",30-34
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Aircraft Technician Airframe,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Professional,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,ASIAN,202420,Medical Assistant,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Dental Assisting,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Histologic Technician,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Vocational Nursing,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Info Tech Cybersecurity,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,50-59
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Radiography Technologist,40-49
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Surgical Technology,25-29
Spring  2024,2024,Male,FTIC Student,Academic,Part-Time,HISPANIC,202420,7-12 & Other EC-12,35-39
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,WHITE,202420,English,18-24
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,BLACK AFR AMER,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Full-Time,HISPANIC,202420,Digital Arts and Media,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Communication Design,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,AMER INDIAN ALSKN,202420,Vocational Nursing,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,BLACK AFR AMER,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Culinary Studies,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI-RACIAL,202420,Biology/Pre-Nursing,35-39
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,BLACK AFR AMER,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,ASIAN,202420,Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Art,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,50-59
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,AMER INDIAN ALSKN,202420,Info Tech Cybersecurity,30-34
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,HISPANIC,202420,Business Administration,30-34
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,WHITE,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Health Professions Degree,30-34
Spring  2024,2024,Female,Dual Credit Student,Academic,Full-Time,HISPANIC,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Invasive Cardiovascular Tech,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Radiography Technologist,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,FTIC Student,Technical,Part-Time,HISPANIC,202420,EMT - Paramedic,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,BLACK AFR AMER,202420,Collision/Refinishing Tech,50-59
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Collision/Refinishing Tech,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Engineering,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Electrical Trades,30-34
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Automotive Technology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Full-Time,HISPANIC,202420,Social Work,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Social Work,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Dental Hygiene,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Physical Therapist Assistant,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Occupational Therapy Assistant,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Full-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Spanish,30-34
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Humanities,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,50-59
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Psychology,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,UNKNOWN,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Computer Science,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,30-34
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Business Administration,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Psychology,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,General Science,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,History,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Art,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Marketing Management,18-24
Spring  2024,2024,Male,Transfer Student,Academic,Part-Time,HISPANIC,202420,Mathematics,50-59
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,WHITE,202420,Music Business,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology,25-29
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Info Tech Cybersecurity,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,FTIC Student,Technical,Part-Time,HISPANIC,202420,Radiography Technologist,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Automotive Technology,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,WHITE,202420,Aircraft Mechanic Airframe,60+
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Aircraft Technician Airframe,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Full-Time,HISPANIC,202420,Aircraft Mechanic Powerplant,25-29
Spring  2024,2024,Male,Dual Credit Student,Technical,Part-Time,HISPANIC,202420,Auto Front-End & Brake Serv,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Health Professions Degree,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Full-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Full-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Nurs:Career Mobility-LVN - RN,30-34
Spring  2024,2024,Male,Dual Credit Student,Academic,Full-Time,WHITE,202420,Liberal Arts,18-24
Spring  2024,2024,Male,Dual Credit Student,Academic,Full-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Collision/Refinishing Tech,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,MULTI-RACIAL,202420,Kinesiology,30-34
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,BLACK AFR AMER,202420,Info Tech Cybersecurity,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,25-29
Spring  2024,2024,Female,FTIC Student,Academic,Part-Time,BLACK AFR AMER,202420,Kinesiology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,"TX Teacher EC-6, 4-8, & EC-12",18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Baking and Pastry Arts,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Occupational Therapy Assistant,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Full-Time,BLACK AFR AMER,202420,Computer Science,18-24
